,FSC,SSC
P2_M18,35443,21
P2_M19,15528,1013
P2_M21,34900,314
P2_M22,38884,498
P2_M23,25491,213
P2_M24,19660,257
P2_M25,25902,94
P2_N1,14981,279
P2_N2,18942,306
P2_N3,16244,130
P2_N4,27950,429
P2_N5,42324,409
P2_N6,40626,1607
P2_N7,19222,42
P2_N8,38728,725
P2_N9,21352,406
P2_N10,26267,344
P2_N11,43028,699
P2_N12,13730,540
P2_N13,13876,128
P2_N14,NaN,NaN
P2_N15,53830,28
P2_N16,13603,107
P2_N17,18065,1819
P2_N18,11914,438
P2_N20,45281,745
P2_N21,15776,3925
P2_N22,33529,121
P2_N23,32048,299
P2_N24,46927,511
P2_N25,19562,147
P2_O1,15366,75
P2_O2,41255,516
P2_O3,33413,24
P2_O4,22853,24
P2_O5,36073,765
P2_O6,29416,458
P2_O7,32740,174
P2_O8,13894,908
P2_O9,40345,619
P2_O10,12354,557
P2_O11,27035,232
P2_O12,32336,651
P2_O13,33460,614
P2_O14,44017,557
P2_O15,15862,34
P2_O16,37554,546
P2_O17,NaN,NaN
P2_O18,41726,440
P2_O19,17473,234
P2_O21,14493,314
P2_O22,35022,602
P2_O23,16073,510
P2_O24,14165,86
P2_O25,19748,36
P2_P1,36002,1614
P2_P2,26831,38
P2_P3,40646,567
P2_P4,31323,375
P2_P5,20658,234
P2_P6,NaN,NaN
P2_P7,14085,156
P2_P8,40334,749
P2_P9,28517,552
P2_P10,40084,447
P2_P11,26247,815
P2_P12,30978,25
P2_P13,23029,448
P2_P14,NaN,NaN
P2_P15,11559,573
P2_P16,39442,531
P2_P17,17615,445
P2_P18,21627,1846
P2_P20,30855,401
P2_P21,42897,550
P2_P22,38562,641
P2_P23,17060,342
P2_P24,40115,679
P2_P25,35100,435
